S1223
 1.0000	0.0000
 0.9983	0.0012
 0.9941	0.0049
 0.9882	0.0103
 0.9807	0.0164
 0.9711	0.0225
 0.9588	0.0285
 0.9438	0.0347
 0.9263	0.0411
 0.9064	0.0476
 0.8840	0.0542
 0.8594	0.0608
 0.8327	0.0674
 0.8041	0.0740
 0.7736	0.0804
 0.7416	0.0867
 0.7082	0.0927
 0.6736	0.0985
 0.6379	0.1041
 0.6015	0.1093
 0.5646	0.1142
 0.5274	0.1188
 0.4902	0.1230
 0.4534	0.1268
 0.4172	0.1301
 0.3819	0.1327
 0.3477	0.1344
 0.3148	0.1352
 0.2834	0.1350
 0.2537	0.1334
 0.2254	0.1303
 0.1984	0.1259
 0.1728	0.1202
 0.1486	0.1135
 0.1259	0.1059
 0.1048	0.0977
 0.0854	0.0887
 0.0678	0.0794
 0.0522	0.0696
 0.0385	0.0596
 0.0269	0.0496
 0.0175	0.0396
 0.0102	0.0295
 0.0049	0.0196
 0.0015	0.0103
 0.0000	0.0017
 0.0015	-0.0083
 0.0049	-0.0126
 0.0102	-0.0146
 0.0175	-0.0155
 0.0269	-0.0157
 0.0385	-0.0155
 0.0522	-0.0149
 0.0678	-0.0138
 0.0854	-0.0122
 0.1048	-0.0101
 0.1259	-0.0074
 0.1486	-0.0043
 0.1728	-0.0002
 0.1984	0.0045
 0.2254	0.0096
 0.2537	0.0149
 0.2834	0.0204
 0.3148	0.0260
 0.3477	0.0315
 0.3819	0.0368
 0.4172	0.0417
 0.4534	0.0464
 0.4902	0.0503
 0.5274	0.0538
 0.5646	0.0564
 0.6015	0.0583
 0.6379	0.0595
 0.6736	0.0597
 0.7082	0.0594
 0.7416	0.0583
 0.7736	0.0564
 0.8041	0.0534
 0.8327	0.0500
 0.8594	0.0463
 0.884	0.0417
 0.9064	0.0369
 0.9263	0.0319
 0.9438	0.0268
 0.9588	0.0212
 0.9711	0.0161
 0.9807	0.0114
 0.9882	0.0072
 0.9941	0.0038
 0.9983	0.0011
 1.0000	0.0000
